employee_id,risk_level,recommendation,action_taken,escalated,evidence,cited_features,targets_drivers,status,tool_calls
EMP1935,Low,,False,False,"['Risk probability 0.2289 is below the Medium threshold (0.35), so risk is Low. Per rule 4, when risk is Low we finalize immediately with an empty confirmed_drivers list and no intervention.']",[],[],NO_ACTION,8
EMP2012,Low,,False,False,"['Employee EMP2012 has an attrition probability of 0.3272, which is below the 0.35 threshold for Low risk. According to investigation protocol, no further driver analysis is needed for Low risk employees.']",[],[],NO_ACTION,2
EMP407,Low,,False,False,"['Risk probability 0.2573 is below the Medium threshold (0.35), so risk is Low. Per rule 4, when risk is Low, finalize immediately with empty confirmed_drivers list and no intervention.']",[],[],NO_ACTION,7
EMP424,High,team_environment_review,True,False,"['Environment satisfaction is 1 vs cohort mean 2.69 (0th percentile, the worst in the cohort), contributing +1.06 to the risk logit.', 'Job satisfaction is 1 vs cohort mean 2.76 (0th percentile, the worst in the cohort), contributing +0.83 to the risk logit.', 'Stock option level is 0 vs cohort mean 0.7 (0th percentile, the worst in the cohort), contributing +0.40 to the risk logit.', 'Employee EMP424 shows High attrition risk (63.94% probability). Three drivers were verified as both material contributors to risk (logit_contribution >= 0.4) and unusual versus the cohort (severity_percentile <= 35.0): EnvironmentSatisfaction (worst in cohort), JobSatisfaction (worst in cohort), and StockOptionLevel (worst in cohort). Among interventions that can move these drivers, team_environment_review provides the largest simulated risk reduction (-15.31 percentage points) by addressing the top driver, EnvironmentSatisfaction.']","['EnvironmentSatisfaction', 'JobSatisfaction', 'StockOptionLevel']",['EnvironmentSatisfaction'],APPROVED_FOR_REVIEW,12
EMP468,Low,,False,False,"['Employee EMP468 has an attrition probability of 0.1043, which is below the 0.35 threshold for Medium risk. Therefore, the risk level is Low and no investigation into drivers or interventions is warranted per the protocol.']",[],[],NO_ACTION,2
EMP680,Medium,,False,False,"['Risk probability 0.4649 is Medium (>=0.35, <0.60). Two drivers verified: BusinessTravel_freq (logit_contribution 1.1822 >=0.4, severity_percentile 19.3 <=35) and JobLevel (0.7268 >=0.4, severity_percentile 0.0 <=35). YearsWithCurrManager and TrainingTimesLastYear contributions are below the 0.4 threshold and are not drivers. No intervention can modify BusinessTravel_freq or JobLevel per the mapping table, so no action recommended.']",[],[],NO_ACTION,7
EMP784,Low,team_environment_review,True,False,"['Environment satisfaction is 1 vs cohort mean 2.69 (0th percentile, the worst in the cohort), contributing +1.06 to the risk logit.', 'Job level is 1 vs cohort mean 1.6 (0th percentile, the worst in the cohort), contributing +0.73 to the risk logit.', 'Stock option level is 0 vs cohort mean 0.7 (0th percentile, the worst in the cohort), contributing +0.40 to the risk logit.', 'Risk probability 0.2279 is below the Medium threshold (0.35), so risk is Low. Three drivers were verified: EnvironmentSatisfaction (logit contribution 1.0615, severity_percentile 0.0), JobLevel (0.7268, severity_percentile 0.0), and StockOptionLevel (0.4008, severity_percentile 0.0). Each has logit_contribution >= 0.4 and severity_percentile <= 35.0. Among interventions that can move these drivers, team_environment_review addresses EnvironmentSatisfaction and yields the largest risk reduction (-9.18 pp) compared to compensation_review (-8.48 pp).']","['EnvironmentSatisfaction', 'JobLevel', 'StockOptionLevel']",['EnvironmentSatisfaction'],APPROVED_FOR_REVIEW,8
EMP816,High,workload_review,True,False,"['Working overtime is 1 vs cohort mean 0.3 (70th percentile, worst 30% of the cohort), contributing +1.21 to the risk logit.', 'Job satisfaction is 1 vs cohort mean 2.76 (0th percentile, the worst in the cohort), contributing +0.83 to the risk logit.', 'Job level is 1 vs cohort mean 1.6 (0th percentile, the worst in the cohort), contributing +0.73 to the risk logit.', 'Environment satisfaction is 2 vs cohort mean 2.69 (21st percentile, worst 21% of the cohort), contributing +0.43 to the risk logit.', 'Employee EMP816 has high attrition risk (0.8939). Four confirmed drivers were identified: OverTime_flag (logit_contribution 1.209, severity_percentile 30.4), JobSatisfaction (0.8318, 0.0), JobLevel (0.7268, 0.0), and EnvironmentSatisfaction (0.4339, 21.1). All meet the criteria of logit_contribution >= 0.4 and severity_percentile <= 35.0. Among interventions that can address these drivers, workload_review (for OverTime_flag) shows the largest risk reduction (-37.89 percentage points) compared to role_fit_conversation (-5.42 points). JobLevel has no available intervention.']","['OverTime_flag', 'JobSatisfaction', 'JobLevel', 'EnvironmentSatisfaction']",['OverTime_flag'],APPROVED_FOR_REVIEW,12
EMP911,High,workload_review,True,False,"['Working overtime is 1 vs cohort mean 0.3 (70th percentile, worst 30% of the cohort), contributing +1.21 to the risk logit.', 'Environment satisfaction is 1 vs cohort mean 2.69 (0th percentile, the worst in the cohort), contributing +1.06 to the risk logit.', 'Commute distance is 25 vs cohort mean 9.1 (94th percentile, worst 6% of the cohort), contributing +0.90 to the risk logit.', 'Job level is 1 vs cohort mean 1.6 (0th percentile, the worst in the cohort), contributing +0.73 to the risk logit.', 'Work-life balance is 1 vs cohort mean 2.75 (0th percentile, the worst in the cohort), contributing +0.53 to the risk logit.', 'Stock option level is 0 vs cohort mean 0.7 (0th percentile, the worst in the cohort), contributing +0.40 to the risk logit.', 'Risk probability 0.9541 (High). Six drivers verified: each has logit_contribution >= 0.4 and severity_percentile <= 35. OverTime_flag (1.209, 30.4), EnvironmentSatisfaction (1.0615, 0.0), DistanceFromHome (0.8962, 5.8), JobLevel (0.7268, 0.0), WorkLifeBalance (0.5309, 0.0), StockOptionLevel (0.4008, 0.0). Workload_review reduces risk by 23.02 pp, the largest delta among feasible interventions targeting verified drivers (OverTime_flag, WorkLifeBalance).']","['OverTime_flag', 'EnvironmentSatisfaction', 'DistanceFromHome', 'JobLevel', 'WorkLifeBalance', 'StockOptionLevel']","['OverTime_flag', 'WorkLifeBalance']",APPROVED_FOR_REVIEW,11
EMP95,Medium,compensation_review,True,False,"['Job level is 1 vs cohort mean 1.6 (0th percentile, the worst in the cohort), contributing +0.73 to the risk logit.', 'Stock option level is 0 vs cohort mean 0.7 (0th percentile, the worst in the cohort), contributing +0.40 to the risk logit.', 'Risk probability 0.3852 falls in Medium band (>=0.35, <0.60). Two drivers verified: JobLevel (logit 0.7268, severity_percentile 0.0) and StockOptionLevel (logit 0.4008, severity_percentile 0.0). Both have logit_contribution >=0.4 and severity_percentile <=35.0. Intervention compensation_review targets StockOptionLevel and reduces risk by -12.36 pp (simulated). No intervention exists for JobLevel.']","['JobLevel', 'StockOptionLevel']",['StockOptionLevel'],APPROVED_FOR_REVIEW,12
