employee_id,status,risk_level,attrition_probability,root_cause_status,recommendation,simulated_delta_pp,requires_human_decision,evidence,actionable_features,contextual_features,memory_notes,unresolved_objections,tool_calls
EMP1767,APPROVED_FOR_REVIEW,High,0.952,EXPLAINED,Review workload and reduce overtime,-23.77,True,"Working overtime is 1 vs cohort mean 0.3 (70th percentile, worst 30% of the cohort), contributing +1.21 to the risk logit. | Business travel frequency is 2 vs cohort mean 1.1 (81st percentile, worst 19% of the cohort), contributing +1.18 to the risk logit. | Job level is 1 vs cohort mean 1.6 (0th percentile, the worst in the cohort), contributing +0.73 to the risk logit. | Commute distance is 17 vs cohort mean 9.1 (80th percentile, worst 20% of the cohort), contributing +0.44 to the risk logit.",OverTime_flag,BusinessTravel_freq | JobLevel | DistanceFromHome,"Job level is a confirmed driver for 63% of the cohort reviewed so far, so it describes the environment more than this individual.",,7
EMP1242,APPROVED_FOR_REVIEW,High,0.9513,EXPLAINED,Review workload and reduce overtime,-24.02,True,"Working overtime is 1 vs cohort mean 0.3 (70th percentile, worst 30% of the cohort), contributing +1.21 to the risk logit. | Business travel frequency is 2 vs cohort mean 1.1 (81st percentile, worst 19% of the cohort), contributing +1.18 to the risk logit. | Environment satisfaction is 1 vs cohort mean 2.69 (0th percentile, the worst in the cohort), contributing +1.06 to the risk logit. | Commute distance is 26 vs cohort mean 9.1 (96th percentile, worst 4% of the cohort), contributing +0.95 to the risk logit.",OverTime_flag | EnvironmentSatisfaction,BusinessTravel_freq | DistanceFromHome,,,8
EMP614,APPROVED_FOR_REVIEW,High,0.9503,EXPLAINED,Review workload and reduce overtime,-24.37,True,"Working overtime is 1 vs cohort mean 0.3 (70th percentile, worst 30% of the cohort), contributing +1.21 to the risk logit. | Business travel frequency is 2 vs cohort mean 1.1 (81st percentile, worst 19% of the cohort), contributing +1.18 to the risk logit. | Job level is 1 vs cohort mean 1.6 (0th percentile, the worst in the cohort), contributing +0.73 to the risk logit. | Environment satisfaction is 2 vs cohort mean 2.69 (21st percentile, worst 21% of the cohort), contributing +0.43 to the risk logit.",OverTime_flag | EnvironmentSatisfaction,BusinessTravel_freq | JobLevel,"Job level is a confirmed driver for 63% of the cohort reviewed so far, so it describes the environment more than this individual.",,8
EMP1016,APPROVED_FOR_REVIEW,High,0.9479,EXPLAINED,Review workload and reduce overtime,-25.17,True,"Working overtime is 1 vs cohort mean 0.3 (70th percentile, worst 30% of the cohort), contributing +1.21 to the risk logit. | Job satisfaction is 1 vs cohort mean 2.76 (0th percentile, the worst in the cohort), contributing +0.83 to the risk logit. | Job level is 1 vs cohort mean 1.6 (0th percentile, the worst in the cohort), contributing +0.73 to the risk logit. | Relationship satisfaction is 1 vs cohort mean 2.77 (0th percentile, the worst in the cohort), contributing +0.60 to the risk logit.",OverTime_flag | JobSatisfaction | RelationshipSatisfaction,JobLevel,"Job level is a confirmed driver for 63% of the cohort reviewed so far, so it describes the environment more than this individual.",,10
EMP392,APPROVED_FOR_REVIEW,High,0.9453,EXPLAINED,Review workload and reduce overtime,-26.01,True,"Working overtime is 1 vs cohort mean 0.3 (70th percentile, worst 30% of the cohort), contributing +1.21 to the risk logit. | Business travel frequency is 2 vs cohort mean 1.1 (81st percentile, worst 19% of the cohort), contributing +1.18 to the risk logit. | Commute distance is 24 vs cohort mean 9.1 (91st percentile, worst 9% of the cohort), contributing +0.84 to the risk logit. | Job level is 1 vs cohort mean 1.6 (0th percentile, the worst in the cohort), contributing +0.73 to the risk logit.",OverTime_flag,BusinessTravel_freq | DistanceFromHome | JobLevel,"Job level is a confirmed driver for 63% of the cohort reviewed so far, so it describes the environment more than this individual.",,7
EMP1033,APPROVED_FOR_REVIEW,High,0.9446,EXPLAINED,Assign an onboarding mentor,-7.44,True,"Environment satisfaction is 1 vs cohort mean 2.69 (0th percentile, the worst in the cohort), contributing +1.06 to the risk logit. | Job involvement is 1 vs cohort mean 2.66 (0th percentile, the worst in the cohort), contributing +0.98 to the risk logit. | Relationship satisfaction is 1 vs cohort mean 2.77 (0th percentile, the worst in the cohort), contributing +0.60 to the risk logit. | Work-life balance is 1 vs cohort mean 2.75 (0th percentile, the worst in the cohort), contributing +0.53 to the risk logit.",EnvironmentSatisfaction | JobInvolvement | RelationshipSatisfaction | WorkLifeBalance,,Job involvement is confirmed for only 6% of the cohort reviewed so far — this is specific to this employee. | Work-life balance is confirmed for only 5% of the cohort reviewed so far — this is specific to this employee.,,11
EMP1961,APPROVED_FOR_REVIEW,High,0.9446,EXPLAINED,Assign an onboarding mentor,-7.45,True,"Environment satisfaction is 1 vs cohort mean 2.69 (0th percentile, the worst in the cohort), contributing +1.06 to the risk logit. | Job satisfaction is 1 vs cohort mean 2.76 (0th percentile, the worst in the cohort), contributing +0.83 to the risk logit. | Job level is 1 vs cohort mean 1.6 (0th percentile, the worst in the cohort), contributing +0.73 to the risk logit. | Relationship satisfaction is 1 vs cohort mean 2.77 (0th percentile, the worst in the cohort), contributing +0.60 to the risk logit.",EnvironmentSatisfaction | JobSatisfaction | RelationshipSatisfaction,JobLevel,"Job level is a confirmed driver for 63% of the cohort reviewed so far, so it describes the environment more than this individual.",,10
EMP1504,APPROVED_FOR_REVIEW,High,0.9336,EXPLAINED,Assign an onboarding mentor,-8.69,True,"Business travel frequency is 2 vs cohort mean 1.1 (81st percentile, worst 19% of the cohort), contributing +1.18 to the risk logit. | Job satisfaction is 1 vs cohort mean 2.76 (0th percentile, the worst in the cohort), contributing +0.83 to the risk logit. | Job level is 1 vs cohort mean 1.6 (0th percentile, the worst in the cohort), contributing +0.73 to the risk logit. | Stock option level is 0 vs cohort mean 0.7 (0th percentile, the worst in the cohort), contributing +0.40 to the risk logit.",JobSatisfaction | StockOptionLevel,BusinessTravel_freq | JobLevel,"Job level is a confirmed driver for 63% of the cohort reviewed so far, so it describes the environment more than this individual. | Stock option level is a confirmed driver for 41% of the cohort reviewed so far, so it describes the environment more than this individual.",,9
EMP55,APPROVED_FOR_REVIEW,High,0.9328,EXPLAINED,Assign an onboarding mentor,-8.77,True,"Environment satisfaction is 1 vs cohort mean 2.69 (0th percentile, the worst in the cohort), contributing +1.06 to the risk logit. | Job involvement is 1 vs cohort mean 2.66 (0th percentile, the worst in the cohort), contributing +0.98 to the risk logit. | Commute distance is 25 vs cohort mean 9.1 (94th percentile, worst 6% of the cohort), contributing +0.90 to the risk logit. | Job level is 1 vs cohort mean 1.6 (0th percentile, the worst in the cohort), contributing +0.73 to the risk logit.",EnvironmentSatisfaction | JobInvolvement,DistanceFromHome | JobLevel,"Job involvement is confirmed for only 6% of the cohort reviewed so far — this is specific to this employee. | Job level is a confirmed driver for 63% of the cohort reviewed so far, so it describes the environment more than this individual.",,9
EMP792,APPROVED_FOR_REVIEW,High,0.9265,EXPLAINED,Assign an onboarding mentor,-9.44,True,"Business travel frequency is 2 vs cohort mean 1.1 (81st percentile, worst 19% of the cohort), contributing +1.18 to the risk logit. | Environment satisfaction is 1 vs cohort mean 2.69 (0th percentile, the worst in the cohort), contributing +1.06 to the risk logit. | Job involvement is 1 vs cohort mean 2.66 (0th percentile, the worst in the cohort), contributing +0.98 to the risk logit. | Job level is 1 vs cohort mean 1.6 (0th percentile, the worst in the cohort), contributing +0.73 to the risk logit.",EnvironmentSatisfaction | JobInvolvement,BusinessTravel_freq | JobLevel,"Job involvement is confirmed for only 6% of the cohort reviewed so far — this is specific to this employee. | Job level is a confirmed driver for 63% of the cohort reviewed so far, so it describes the environment more than this individual.",,9
EMP261,APPROVED_FOR_REVIEW,High,0.9254,EXPLAINED,Review workload and reduce overtime,-31.56,True,"Working overtime is 1 vs cohort mean 0.3 (70th percentile, worst 30% of the cohort), contributing +1.21 to the risk logit. | Commute distance is 23 vs cohort mean 9.1 (89th percentile, worst 11% of the cohort), contributing +0.78 to the risk logit. | Relationship satisfaction is 1 vs cohort mean 2.77 (0th percentile, the worst in the cohort), contributing +0.60 to the risk logit. | Environment satisfaction is 2 vs cohort mean 2.69 (21st percentile, worst 21% of the cohort), contributing +0.43 to the risk logit.",OverTime_flag | RelationshipSatisfaction | EnvironmentSatisfaction,DistanceFromHome,,,10
EMP1279,APPROVED_FOR_REVIEW,High,0.9157,EXPLAINED,Review team environment and working conditions,-6.28,True,"Business travel frequency is 2 vs cohort mean 1.1 (81st percentile, worst 19% of the cohort), contributing +1.18 to the risk logit. | Environment satisfaction is 1 vs cohort mean 2.69 (0th percentile, the worst in the cohort), contributing +1.06 to the risk logit. | Job level is 1 vs cohort mean 1.6 (0th percentile, the worst in the cohort), contributing +0.73 to the risk logit. | Work-life balance is 1 vs cohort mean 2.75 (0th percentile, the worst in the cohort), contributing +0.53 to the risk logit.",EnvironmentSatisfaction | WorkLifeBalance,BusinessTravel_freq | JobLevel,"Job level is a confirmed driver for 63% of the cohort reviewed so far, so it describes the environment more than this individual. | Work-life balance is confirmed for only 5% of the cohort reviewed so far — this is specific to this employee.",,8
EMP235,APPROVED_FOR_REVIEW,High,0.9156,EXPLAINED,Assign an onboarding mentor,-10.56,True,"Business travel frequency is 2 vs cohort mean 1.1 (81st percentile, worst 19% of the cohort), contributing +1.18 to the risk logit. | Job involvement is 1 vs cohort mean 2.66 (0th percentile, the worst in the cohort), contributing +0.98 to the risk logit. | Job satisfaction is 1 vs cohort mean 2.76 (0th percentile, the worst in the cohort), contributing +0.83 to the risk logit. | Job level is 1 vs cohort mean 1.6 (0th percentile, the worst in the cohort), contributing +0.73 to the risk logit.",JobInvolvement | JobSatisfaction,BusinessTravel_freq | JobLevel,"Job involvement is confirmed for only 6% of the cohort reviewed so far — this is specific to this employee. | Job level is a confirmed driver for 63% of the cohort reviewed so far, so it describes the environment more than this individual.",,9
EMP51,APPROVED_FOR_REVIEW,High,0.9141,EXPLAINED,Review workload and reduce overtime,-26.93,True,"Working overtime is 1 vs cohort mean 0.3 (70th percentile, worst 30% of the cohort), contributing +1.21 to the risk logit. | Job satisfaction is 1 vs cohort mean 2.76 (0th percentile, the worst in the cohort), contributing +0.83 to the risk logit. | Job level is 1 vs cohort mean 1.6 (0th percentile, the worst in the cohort), contributing +0.73 to the risk logit. | Environment satisfaction is 2 vs cohort mean 2.69 (21st percentile, worst 21% of the cohort), contributing +0.43 to the risk logit.",OverTime_flag | JobSatisfaction | EnvironmentSatisfaction,JobLevel,"Job level is a confirmed driver for 63% of the cohort reviewed so far, so it describes the environment more than this individual.",,10
EMP1458,APPROVED_FOR_REVIEW,High,0.9136,EXPLAINED,Review workload and reduce overtime,-27.03,True,"Working overtime is 1 vs cohort mean 0.3 (70th percentile, worst 30% of the cohort), contributing +1.21 to the risk logit. | Environment satisfaction is 1 vs cohort mean 2.69 (0th percentile, the worst in the cohort), contributing +1.06 to the risk logit. | Job satisfaction is 1 vs cohort mean 2.76 (0th percentile, the worst in the cohort), contributing +0.83 to the risk logit. | Job level is 1 vs cohort mean 1.6 (0th percentile, the worst in the cohort), contributing +0.73 to the risk logit.",OverTime_flag | EnvironmentSatisfaction | JobSatisfaction,JobLevel,"Job level is a confirmed driver for 63% of the cohort reviewed so far, so it describes the environment more than this individual.",,10
EMP1427,APPROVED_FOR_REVIEW,High,0.9127,EXPLAINED,Assign an onboarding mentor,-10.84,True,"Business travel frequency is 2 vs cohort mean 1.1 (81st percentile, worst 19% of the cohort), contributing +1.18 to the risk logit. | Job involvement is 1 vs cohort mean 2.66 (0th percentile, the worst in the cohort), contributing +0.98 to the risk logit. | Job level is 1 vs cohort mean 1.6 (0th percentile, the worst in the cohort), contributing +0.73 to the risk logit. | Environment satisfaction is 2 vs cohort mean 2.69 (21st percentile, worst 21% of the cohort), contributing +0.43 to the risk logit.",JobInvolvement | EnvironmentSatisfaction,BusinessTravel_freq | JobLevel,"Job involvement is confirmed for only 6% of the cohort reviewed so far — this is specific to this employee. | Job level is a confirmed driver for 63% of the cohort reviewed so far, so it describes the environment more than this individual.",,9
EMP1248,APPROVED_FOR_REVIEW,High,0.906,EXPLAINED,Review workload and reduce overtime,-28.42,True,"Working overtime is 1 vs cohort mean 0.3 (70th percentile, worst 30% of the cohort), contributing +1.21 to the risk logit. | Environment satisfaction is 1 vs cohort mean 2.69 (0th percentile, the worst in the cohort), contributing +1.06 to the risk logit. | Job level is 1 vs cohort mean 1.6 (0th percentile, the worst in the cohort), contributing +0.73 to the risk logit. | Stock option level is 0 vs cohort mean 0.7 (0th percentile, the worst in the cohort), contributing +0.40 to the risk logit.",OverTime_flag | EnvironmentSatisfaction | StockOptionLevel,JobLevel,"Job level is a confirmed driver for 63% of the cohort reviewed so far, so it describes the environment more than this individual. | Stock option level is a confirmed driver for 41% of the cohort reviewed so far, so it describes the environment more than this individual.",,9
EMP1844,APPROVED_FOR_REVIEW,High,0.9053,EXPLAINED,Review workload and reduce overtime,-35.9,True,"Working overtime is 1 vs cohort mean 0.3 (70th percentile, worst 30% of the cohort), contributing +1.21 to the risk logit. | Environment satisfaction is 1 vs cohort mean 2.69 (0th percentile, the worst in the cohort), contributing +1.06 to the risk logit. | Job satisfaction is 1 vs cohort mean 2.76 (0th percentile, the worst in the cohort), contributing +0.83 to the risk logit. | Job level is 1 vs cohort mean 1.6 (0th percentile, the worst in the cohort), contributing +0.73 to the risk logit.",OverTime_flag | EnvironmentSatisfaction | JobSatisfaction,JobLevel,"Job level is a confirmed driver for 63% of the cohort reviewed so far, so it describes the environment more than this individual.",,10
EMP648,APPROVED_FOR_REVIEW,High,0.9038,EXPLAINED,Assign an onboarding mentor,-11.69,True,"Business travel frequency is 2 vs cohort mean 1.1 (81st percentile, worst 19% of the cohort), contributing +1.18 to the risk logit. | Job satisfaction is 1 vs cohort mean 2.76 (0th percentile, the worst in the cohort), contributing +0.83 to the risk logit. | Job level is 1 vs cohort mean 1.6 (0th percentile, the worst in the cohort), contributing +0.73 to the risk logit. | Environment satisfaction is 2 vs cohort mean 2.69 (21st percentile, worst 21% of the cohort), contributing +0.43 to the risk logit.",JobSatisfaction | EnvironmentSatisfaction,BusinessTravel_freq | JobLevel,"Job level is a confirmed driver for 63% of the cohort reviewed so far, so it describes the environment more than this individual.",,9
EMP959,APPROVED_FOR_REVIEW,High,0.9024,EXPLAINED,Review workload and reduce overtime,-29.04,True,"Working overtime is 1 vs cohort mean 0.3 (70th percentile, worst 30% of the cohort), contributing +1.21 to the risk logit. | Job level is 1 vs cohort mean 1.6 (0th percentile, the worst in the cohort), contributing +0.73 to the risk logit. | Commute distance is 21 vs cohort mean 9.1 (87th percentile, worst 13% of the cohort), contributing +0.67 to the risk logit. | Stock option level is 0 vs cohort mean 0.7 (0th percentile, the worst in the cohort), contributing +0.40 to the risk logit.",OverTime_flag | StockOptionLevel,JobLevel | DistanceFromHome,"Job level is a confirmed driver for 63% of the cohort reviewed so far, so it describes the environment more than this individual. | Stock option level is a confirmed driver for 41% of the cohort reviewed so far, so it describes the environment more than this individual.",,8
EMP1111,APPROVED_FOR_REVIEW,High,0.8983,EXPLAINED,Assign an onboarding mentor,-12.19,True,"Business travel frequency is 2 vs cohort mean 1.1 (81st percentile, worst 19% of the cohort), contributing +1.18 to the risk logit. | Environment satisfaction is 1 vs cohort mean 2.69 (0th percentile, the worst in the cohort), contributing +1.06 to the risk logit. | Job level is 1 vs cohort mean 1.6 (0th percentile, the worst in the cohort), contributing +0.73 to the risk logit. | Relationship satisfaction is 1 vs cohort mean 2.77 (0th percentile, the worst in the cohort), contributing +0.60 to the risk logit.",EnvironmentSatisfaction | RelationshipSatisfaction,BusinessTravel_freq | JobLevel,"Job level is a confirmed driver for 63% of the cohort reviewed so far, so it describes the environment more than this individual.",,9
EMP1180,APPROVED_FOR_REVIEW,High,0.8954,EXPLAINED,Review workload and reduce overtime,-37.64,True,"Working overtime is 1 vs cohort mean 0.3 (70th percentile, worst 30% of the cohort), contributing +1.21 to the risk logit. | Business travel frequency is 2 vs cohort mean 1.1 (81st percentile, worst 19% of the cohort), contributing +1.18 to the risk logit. | Commute distance is 26 vs cohort mean 9.1 (96th percentile, worst 4% of the cohort), contributing +0.95 to the risk logit. | Work-life balance is 1 vs cohort mean 2.75 (0th percentile, the worst in the cohort), contributing +0.53 to the risk logit.",OverTime_flag | WorkLifeBalance,BusinessTravel_freq | DistanceFromHome,Work-life balance is confirmed for only 5% of the cohort reviewed so far — this is specific to this employee.,,7
EMP994,APPROVED_FOR_REVIEW,High,0.8948,EXPLAINED,Review workload and reduce overtime,-37.74,True,"Working overtime is 1 vs cohort mean 0.3 (70th percentile, worst 30% of the cohort), contributing +1.21 to the risk logit. | Job satisfaction is 1 vs cohort mean 2.76 (0th percentile, the worst in the cohort), contributing +0.83 to the risk logit. | Job level is 1 vs cohort mean 1.6 (0th percentile, the worst in the cohort), contributing +0.73 to the risk logit. | Stock option level is 0 vs cohort mean 0.7 (0th percentile, the worst in the cohort), contributing +0.40 to the risk logit.",OverTime_flag | JobSatisfaction | StockOptionLevel,JobLevel,"Job level is a confirmed driver for 63% of the cohort reviewed so far, so it describes the environment more than this individual. | Stock option level is a confirmed driver for 41% of the cohort reviewed so far, so it describes the environment more than this individual.",,10
EMP816,APPROVED_FOR_REVIEW,High,0.8939,EXPLAINED,Review workload and reduce overtime,-37.89,True,"Working overtime is 1 vs cohort mean 0.3 (70th percentile, worst 30% of the cohort), contributing +1.21 to the risk logit. | Job satisfaction is 1 vs cohort mean 2.76 (0th percentile, the worst in the cohort), contributing +0.83 to the risk logit. | Job level is 1 vs cohort mean 1.6 (0th percentile, the worst in the cohort), contributing +0.73 to the risk logit. | Environment satisfaction is 2 vs cohort mean 2.69 (21st percentile, worst 21% of the cohort), contributing +0.43 to the risk logit.",OverTime_flag | JobSatisfaction | EnvironmentSatisfaction,JobLevel,"Job level is a confirmed driver for 63% of the cohort reviewed so far, so it describes the environment more than this individual.",,10
EMP61,APPROVED_FOR_REVIEW,High,0.8914,EXPLAINED,Assign an onboarding mentor,-12.8,True,"Job level is 1 vs cohort mean 1.6 (0th percentile, the worst in the cohort), contributing +0.73 to the risk logit. | Relationship satisfaction is 1 vs cohort mean 2.77 (0th percentile, the worst in the cohort), contributing +0.60 to the risk logit. | Commute distance is 19 vs cohort mean 9.1 (83rd percentile, worst 17% of the cohort), contributing +0.56 to the risk logit. | Environment satisfaction is 2 vs cohort mean 2.69 (21st percentile, worst 21% of the cohort), contributing +0.43 to the risk logit.",RelationshipSatisfaction | EnvironmentSatisfaction,JobLevel | DistanceFromHome,"Job level is a confirmed driver for 63% of the cohort reviewed so far, so it describes the environment more than this individual.",,9
EMP1569,APPROVED_FOR_REVIEW,High,0.8903,EXPLAINED,Review workload and reduce overtime,-38.46,True,"Working overtime is 1 vs cohort mean 0.3 (70th percentile, worst 30% of the cohort), contributing +1.21 to the risk logit. | Environment satisfaction is 1 vs cohort mean 2.69 (0th percentile, the worst in the cohort), contributing +1.06 to the risk logit. | Job satisfaction is 1 vs cohort mean 2.76 (0th percentile, the worst in the cohort), contributing +0.83 to the risk logit. | Job level is 1 vs cohort mean 1.6 (0th percentile, the worst in the cohort), contributing +0.73 to the risk logit.",OverTime_flag | EnvironmentSatisfaction | JobSatisfaction,JobLevel,"Job level is a confirmed driver for 63% of the cohort reviewed so far, so it describes the environment more than this individual.",,10
EMP514,APPROVED_FOR_REVIEW,High,0.8898,EXPLAINED,Review workload and reduce overtime,-38.54,True,"Working overtime is 1 vs cohort mean 0.3 (70th percentile, worst 30% of the cohort), contributing +1.21 to the risk logit. | Business travel frequency is 2 vs cohort mean 1.1 (81st percentile, worst 19% of the cohort), contributing +1.18 to the risk logit. | Job level is 1 vs cohort mean 1.6 (0th percentile, the worst in the cohort), contributing +0.73 to the risk logit. | Previous employers is 9 vs cohort mean 3.16 (96th percentile, worst 4% of the cohort), contributing +0.42 to the risk logit.",OverTime_flag,BusinessTravel_freq | JobLevel | NumCompaniesWorked,"Job level is a confirmed driver for 63% of the cohort reviewed so far, so it describes the environment more than this individual. | Previous employers is confirmed for only 4% of the cohort reviewed so far — this is specific to this employee.",,7
EMP1624,APPROVED_FOR_REVIEW,High,0.8857,EXPLAINED,Review workload and reduce overtime,-31.64,True,"Working overtime is 1 vs cohort mean 0.3 (70th percentile, worst 30% of the cohort), contributing +1.21 to the risk logit. | Business travel frequency is 2 vs cohort mean 1.1 (81st percentile, worst 19% of the cohort), contributing +1.18 to the risk logit. | Job level is 1 vs cohort mean 1.6 (0th percentile, the worst in the cohort), contributing +0.73 to the risk logit. | Environment satisfaction is 2 vs cohort mean 2.69 (21st percentile, worst 21% of the cohort), contributing +0.43 to the risk logit.",OverTime_flag | EnvironmentSatisfaction,BusinessTravel_freq | JobLevel,"Job level is a confirmed driver for 63% of the cohort reviewed so far, so it describes the environment more than this individual.",,8
